source_id,title,company,location,job_type,experience_level,category,salary_min,salary_max,currency,posted_date,description,remote_type,source,skills
job-001,Data Analyst,Deloitte,Bengaluru,Full-time,Entry,Analytics,700000,1100000,INR,2026-04-01,Build dashboards and business reports,Hybrid,SampleBoard,"sql;power bi;excel;python"
job-002,Analytics Engineer,Meesho,Bengaluru,Full-time,Mid,Analytics Engineering,1200000,1800000,INR,2026-04-02,Develop warehouse models and metrics,Hybrid,SampleBoard,"sql;dbt;python;snowflake"
job-003,Data Engineer,Razorpay,Bengaluru,Full-time,Mid,Data Engineering,1400000,2200000,INR,2026-04-03,Build scalable pipelines and orchestration,Hybrid,SampleBoard,"python;sql;airflow;spark;databricks"
job-004,ML Engineer,Flipkart,Bengaluru,Full-time,Mid,Applied AI,1500000,2400000,INR,2026-04-03,Deploy machine learning systems in production,Hybrid,SampleBoard,"python;pytorch;docker;mlops;sql"
job-005,BI Developer,Accenture,Hyderabad,Full-time,Entry,Analytics,650000,1000000,INR,2026-04-04,Create business dashboards and reporting layers,Onsite,SampleBoard,"sql;power bi;excel;data modeling"
job-006,Data Engineer,Tiger Analytics,Chennai,Full-time,Entry,Data Engineering,850000,1400000,INR,2026-04-05,Maintain ETL pipelines and data marts,Hybrid,SampleBoard,"python;sql;airflow;aws"
job-007,AI Engineer,Fractal,Remote,Full-time,Mid,Applied AI,1300000,2100000,INR,2026-04-05,Build LLM applications and data pipelines,Remote,SampleBoard,"python;llms;rag;fastapi;sql"
job-008,Data Scientist,Swiggy,Bengaluru,Full-time,Mid,Applied AI,1400000,2300000,INR,2026-04-06,Train forecasting and ranking models,Hybrid,SampleBoard,"python;machine learning;sql;xgboost"
job-009,Analytics Consultant,KPMG,Gurugram,Full-time,Entry,Analytics,800000,1250000,INR,2026-04-06,Translate business questions into metrics,Hybrid,SampleBoard,"sql;excel;power bi;storytelling"
job-010,Data Platform Engineer,PhonePe,Bengaluru,Full-time,Mid,Data Engineering,1600000,2600000,INR,2026-04-07,Develop platform infrastructure for data teams,Hybrid,SampleBoard,"python;spark;kafka;databricks;terraform"
job-011,Product Analyst,CRED,Bengaluru,Full-time,Entry,Analytics,900000,1400000,INR,2026-04-07,Analyze experiments and user behavior,Hybrid,SampleBoard,"sql;python;power bi;statistics"
job-012,Data Engineer,Amazon,Hyderabad,Full-time,Mid,Data Engineering,1500000,2500000,INR,2026-04-08,Create reliable pipelines and data quality systems,Onsite,SampleBoard,"python;sql;spark;aws;airflow"
job-013,LLM Engineer,InMobi,Bengaluru,Full-time,Mid,Applied AI,1800000,3000000,INR,2026-04-08,Develop enterprise copilots and retrieval systems,Hybrid,SampleBoard,"python;llms;rag;vector databases;fastapi"
job-014,Analytics Engineer,Zepto,Bengaluru,Full-time,Mid,Analytics Engineering,1300000,2000000,INR,2026-04-09,Own semantic models and testing,Hybrid,SampleBoard,"dbt;sql;python;bigquery"
job-015,Data Analyst,Mu Sigma,Bengaluru,Full-time,Entry,Analytics,600000,900000,INR,2026-04-09,Support reporting and KPI tracking,Onsite,SampleBoard,"sql;excel;tableau;python"
job-016,Machine Learning Engineer,Juspay,Bengaluru,Full-time,Mid,Applied AI,1600000,2700000,INR,2026-04-10,Ship models and feature pipelines,Hybrid,SampleBoard,"python;mlops;docker;kubernetes;sql"
job-017,Data Engineer,Freshworks,Chennai,Full-time,Mid,Data Engineering,1300000,2100000,INR,2026-04-10,Build warehouse ingestion layers,Hybrid,SampleBoard,"python;sql;airflow;dbt;gcp"
job-018,Analytics Engineer,Atlassian,Remote,Full-time,Mid,Analytics Engineering,1700000,2600000,INR,2026-04-11,Develop trusted metrics and business models,Remote,SampleBoard,"dbt;sql;python;looker"
job-019,AI Solutions Engineer,Microsoft,Hyderabad,Full-time,Mid,Applied AI,1800000,2900000,INR,2026-04-12,Implement AI solutions on cloud data platforms,Hybrid,SampleBoard,"python;azure;llms;sql;mlops"
job-020,Data Analyst,Infosys,Pune,Full-time,Entry,Analytics,650000,950000,INR,2026-04-12,Prepare reports and decision support analysis,Onsite,SampleBoard,"sql;excel;python;power bi"
job-021,Data Engineer,Paytm,Noida,Full-time,Entry,Data Engineering,900000,1500000,INR,2026-04-13,Build scheduled data pipelines,Hybrid,SampleBoard,"python;sql;airflow;hadoop"
job-022,Applied Scientist,Uber,Bengaluru,Full-time,Mid,Applied AI,2000000,3200000,INR,2026-04-13,Build production ML and optimization models,Hybrid,SampleBoard,"python;machine learning;sql;pytorch;mlops"
job-023,Analytics Engineer,NielsenIQ,Pune,Full-time,Entry,Analytics Engineering,1000000,1500000,INR,2026-04-13,Work on transformation pipelines and BI models,Hybrid,SampleBoard,"sql;dbt;python;snowflake"
job-024,Data Engineer,Google,Hyderabad,Full-time,Mid,Data Engineering,1800000,3000000,INR,2026-04-14,Develop distributed data systems and tooling,Hybrid,SampleBoard,"python;sql;spark;gcp;kafka"
